text,rating,brand,reviewer,variant
"Recomended...bagus,nyaman di pake adem...walaupun size 32 nya agak kebesaran dikit",5,erigo,Anonim,Light Grey - 32
"Kualitas produk the best sih menurutku👍🏻👍🏻👍🏻
Bahannya nyaman gak tebel jg gak tipis bgt... Packing aman 💙💙💙 Sukses slalu seller ❤❤❤",5,erigo,Anonim,Light Grey - 34
Mantap erigo. Bahan keren bagus. Dateng cepet kualitas oke. Pas no 32 untuk gw BB 65. Sayangnya ga dapet stiker. Parah lu min pelit.,5,erigo,Anonim,Light Grey - 32
"Pesanan sudah di terima dengan baik, packing rapi dan aman, sudah 2x order disini... ukuran sesuai, warna sesuai pesanan, pengiriman by J&T terbaik.... terima kasih seller dan toped",5,erigo,Anonim,36
"Syudah diterima, suka bngt
Bahannya bagus bngt 😍😍👍🏿👍🏿👍🏿👍🏿",5,erigo,Anonim,Light Grey - 36
"Barang original
Kualitas produk: Sangat baik, datang sesuai size, terimakasih",5,erigo,Anonim,30
Bahan Bagus Sudah Langganan &Pesanan Yang Di Kirim Sesuai&Pengiriman Cepat &Makasih Tik-Tok Gratis Ongkirnya,5,erigo,Anonim,36
"Buat yang nyari harga mendang mending, rekomendasi beli disini, saya pikir ga akan kecewa, good job",5,erigo,Anonim,Light Grey - 36
"Baguuss bangeett nyaman dipakee adeemm bahaannyaa paass di badaann dh order 3x kaosnya celana 2x
Bahan nyaman dipakai
Ukuran pas
Warna sesuai ekspektasi
Pengiriman cepat",5,erigo,Anonim,Light Grey - 30
Nunggu restok leh di restokin lngsung co dong dapet hrga murah juga mksih min,5,erigo,Anonim,Light Grey - 30
belinkesekian kalinya barangnya oke thanks Erigo 👍👍👍 bb 65 cukup,5,erigo,Anonim,32
"modelnya slim fit. meskipun ukuran 38, buat yang BB 90, pahanya ngepres banget. kalau soal bahan sih ga ada soal",5,erigo,Revanska,38
Sudah biasaa erigo baguss lahh sama harganya pas beli murah karena promo wkwk,5,erigo,Anonim,28
"ukurannya pas dari lingkar pinggang sampe panjang kaki, gw sendiri ada di bb 70-71 tb 170",5,erigo,Anonim,36
"barang bagus, jahitan rapi, look very good, bahan adem bangettt",5,erigo,Anonim,34
Sesuai Pesanan  Tinggi badan 160 - 170 cm Berat badan 60 - 70 kg,5,erigo,Denny,34
Alhamdulillah celana sudah datang dalam kondisi baik.......Kualitas barang joss lah.... Ukuran juga pas sekali....Packing rapi.... Pengiriman cepat sampai,5,erigo,Anonim,32
Ukurannya pas Tinggi badan 171 - 180 cm Berat badan 60 - 70 kg,5,erigo,Rahman,34
Pembelian entah ke berapa kalinya. Selalu terbaekk! Sukses terus Erigo,5,erigo,Ramadhani,36
Bahan Bagus. Ukuran Sesuai Pesanan. Nyaman di Gunakan. Harga Ramah Kantong,5,erigo,Anang,40
Ukurannya pas Ukurannya terlalu kecil Ukurannya terlalu besar Tinggi badan < 160 cm Tinggi badan 171 - 180 cm Tinggi badan 160 - 170 cm Tinggi badan > 180 cm Berat badan < 60 kg Berat badan 60 - 70 kg Berat badan 71 - 80 kg Berat badan > 80 kg,5,erigo,Virgiawan,40
"mantap barang datang cepat pesen kemarin, besoknya sampai. barang realpict, keren, bagus, adem, santai dan terbaiklah pokonya 👍🏻.
pesen 38 kegedean pinggangnya huhu
but its okey no problem",5,erigo,Muhammad,38
"bahannya cukup, gak tipis. adem, dan sedikit stretchy. untuk kenyamanan masih nyaman.

ukuran sedikit longgar untuk lingkar pinggang 83cm, tapi takutnya kalau ambil uk. 32 kekecilan. untuk bagian kaki gak begitu slim fit sih, jd masih ada ruang gerak. tapi balik lagi ke preferensi. 

untuk jahitan overall terlihat masih kencang, tp beberapa ada yang keluar2 jadi kurang rapi. takut lepas2 aja sih. tapi untuk ritsletingnya baguss gak stuck sama sekali",5,erigo,Anonim,34
"Produk sesuai pesanan baik warna maupun ukuran,ada sedikit noda udah ditandain,mutunya standar erigo harga terjangkau tapi kualitasnya ngak murahannya..",5,erigo,Anonim,30
"Modelnya keren! Pas di badan, kain halus dan lentur..!!",5,erigo,Anonim,34
"pembelian ke sekian kali.
bahan tidak terlalu tebal tapi nyaman dipakai.
ukuran sesuai",5,erigo,Anonim,30
"oke mantappp joy, udah beli 2X, ukuran real (sesuai) 34 yah 34...",5,erigo,Anonim,34
Kualitas produk: Bahan nya sesuai harganya,5,erigo,Anonim,Light Grey - 34
pesanan mantap bagus dan Sangat sesuai pesanan,5,erigo,NB,30
Barang cepat sampai... Ke Sulawesi tenggara hanya 2 hari.. luar biasa.. barang kualitas OK... Sdh 2x pesan Disni dan sangat memuaskan,5,erigo,Anonim,Light Grey - 36
"Kayaknya ada perubahan sama kain kantongnya, pembelian pertama no 32 kain kantongnya berbulu, yg baru no 34 lebih halus kain kantongnya, mantap",5,erigo,Anonim,Light Grey - 34
Terima kasih erigo. Barang sudah sampai dengan sangat baik. Kayaknya bisa terus-terusan belanja disini. Bahannya lembut juga.,5,erigo,Anonim,Light Grey - 38
"bagus
Kualitas produk: bagus
cocok untuk ngantor
bahan strecy
nyaman dipakai
harga lumayan murah",5,erigo,Anonim,Light Grey - 30
"Alhamdulillah barangnya sudah sampai.. 
Sesuai dengan yg di foto.. Keren celananya.. 
Sudah 2 kali belanja di erigo tidak pernah mengecewakan.. 
Terimakasih bonusnya.. 
Respon dan Pengiriman cepat.. 
⭐⭐⭐⭐⭐",5,erigo,Anonim,Light Grey - 30
"Kualitas produk: Kualitas dan warna yg sesuai deskripsi.
Testimoni teman ukurannya cocok dan nyaman di pakai",5,erigo,Anonim,Light Grey - 34
"model oke, bahan oke, ukuran pas (kepanjangan sedikit)",5,erigo,Dimas,34
"Celana nya keren,,ukuran pas,,bahan nya juga bagus...",5,erigo,Anonim,Light Grey - 34
"Keren banget, udah 3 kali aku beli celana erigo bagus dan keren dan paketnya sudah saya Terima dengan baik pokoknya ok",5,erigo,Anonim,Light Grey - 28
"Sudah langganan dan ga pernah kecewa sama produk erigo👍
Sayang gadikasih stiker😁",5,erigo,Anonim,Light Grey - 28
"bahan bagus udah pesanan ke 2..
pengiriman lumayan lama yg ini..
tapo okelaaah tidak mengecewakan
👍🏻👍🏻👍🏻",5,erigo,Anonim,Light Grey - 36
"Pokonya produk celana Chino erigo...keren...udah banyak koleksi celana Chino erigo di rumah....selalu memuaskan.
Terima kasih.",5,erigo,Anonim,Light Grey - 30
"Terimakasih Erigo sudah bisa tukar size.
Dengan harga promo bisa dapat celana berkualitas, mari kita tunggu promo lainnya.",5,erigo,Anonim,Light Grey - 38
Memang celana erigo ini bagus x....bakalan pake celana erigo slalu,5,erigo,Anonim,Light Grey - 28
